Poço,Campo,Bacia,Localização,Petróleo
"",,,,(bbl/d)
"",,,,
9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,50.751
7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste,Santos,Mar,50.399
"",De Atapu,,,
7-BUZ-50D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,49.518
7-BUZ-18-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,49.377
9-ITP-1-RJS,Itapu / Itapu_Eco,Santos,Mar,48.871
7-BUZ-33-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,48.801
7-BUZ-45DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,48.433
7-MRO-10B-RJS,Anc_Mero / Mero,Santos,Mar,48.111
7-MRO-6DB-RJS,Anc_Mero / Mero,Santos,Mar,47.473
3-BRSA-1201-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,44.813
7-BUZ-10-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,44.135
7-ITP-5D-RJS,Itapu / Itapu_Eco,Santos,Mar,43.022
7-BUZ-23-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,42.069
9-ATP-1-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste,Santos,Mar,42.032
"",De Atapu,,,
7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,42.008
7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,41.823
7-BUZ-30-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,40.251
3-BRSA-1322-RJS,Anc_Mero / Mero,Santos,Mar,35.771
1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,35.421
7-ITP-3A-RJS,Itapu / Itapu_Eco,Santos,Mar,34.479
9-BUZ-4-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,34.424
7-MRO-3-RJS,Anc_Mero / Mero,Santos,Mar,34.024
3-BRSA-1255-RJS,Anc_Mero / Mero,Santos,Mar,33.948
7-MRO-16D-RJS,Anc_Mero / Mero,Santos,Mar,32.693
7-SEP-6-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,32.453
7-LL-27-RJS,Tupi,Santos,Mar,32.442
7-TUP-121DA-RJS,Tupi,Santos,Mar,31.511
9-BUZ-3-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,31.427
9-BUZ-1-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,27.746
3-BRSA-1064-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,27.741
Poço,Campo,Bacia,Localização,Gás natural (Mm3/d)
"",,,,
7-MRO-10B-RJS,Anc_Mero / Mero,Santos,Mar,3.082
7-MRO-6DB-RJS,Anc_Mero / Mero,Santos,Mar,3.052
3-BRSA-1322-RJS,Anc_Mero / Mero,Santos,Mar,2.451
3-BRSA-1255-RJS,Anc_Mero / Mero,Santos,Mar,2.165
7-MRO-3-RJS,Anc_Mero / Mero,Santos,Mar,2.153
7-MRO-16D-RJS,Anc_Mero / Mero,Santos,Mar,2.143
7-BUZ-23-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,1.995
7-BUZ-50D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,1.956
7-BUZ-18-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,1.940
7-BUZ-45DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,1.908
7-ATP-6-RJS,Atapu / Atapu_Eco /,Santos,Mar,1.875
"",Anc_Norte_Atapu / Oeste De Atapu,,,
7-BUZ-10-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,1.866
7-BUZ-33-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,1.864
3-BRSA-1201-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,1.847
9-BUZ-3-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,1.742
7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,1.672
1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,1.641
7-LL-27-RJS,Tupi,Santos,Mar,1.599
7-TUP-121DA-RJS,Tupi,Santos,Mar,1.544
7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,1.514
3-BRSA-883-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,1.514
9-LL-20D-RJS,Tupi,Santos,Mar,1.502
9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,1.497
7-BUZ-30-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,1.468
9-ATP-1-RJS,Atapu / Atapu_Eco /,Santos,Mar,1.458
"",Anc_Norte_Atapu / Oeste De Atapu,,,
9-LL-2-RJS,Tupi,Santos,Mar,1.408
9-BUZ-4-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,1.354
7-BUZ-31D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,1.347
7-SPH-14D-SPS,Nordeste De Sapinhoá / Noroeste,Santos,Mar,1.313
"",De Sapinhoá / Sapinhoá / Sudoeste,,,
"",De Sapinhoá,,,
7-BUZ-29D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,1.259
