Bacia,Petróleo (bbl/d),Gás Natural (Mm³/d),Produção Total (boe/d),Nº Campos produtores,mes
Potiguar,34582.9864722231,860.648303548387,39996.3007783648,72,2022-01-01
Recôncavo,20899.5053386686,2175.3982816129,34582.3472043403,76,2022-01-01
Espírito Santo,16422.5175985098,846.55289580645206,21747.1744680822,32,2022-01-01
Camamu,256.802594548064,3217.72661322581,20495.6916236819,1,2022-01-01
Sergipe,7469.59309066094,37.2608890322581,7703.95700310492,17,2022-01-01
Alagoas,1885.53151591173,429.786212258064,4588.80513163462,12,2022-01-01
Amazonas,43.1811688267742,120.043767741935,798.233659607674,1,2022-01-01
Tucano Sul,4.3009964256516096,88.7650680645161,562.616409188526,5,2022-01-01
Parnaíba,1.34714338991613,13.2912329032258,84.9464730169549,4,2022-01-01
Barreirinhas,19.6201492580645,0.124774193548387,20.4049552283871,1,2022-01-01
Total Geral,3032480.53147101,137431.315697419,3896897.3952578,282,2022-01-01
Santos,2141388.72004237,93024.8538643333,2726497.37612679,26,2022-06-01
Campos,610114.591576503,12222.2043513333,686989.934727562,30,2022-06-01
Solimões,13149.0469823167,13315.567234,96901.4349264022,7,2022-06-01
Parnaíba,59.0794536154367,6556.89944166667,41300.7311308048,5,2022-06-01
Potiguar,32104.3831024665,911.749233333334,37839.1125477788,72,2022-06-01
Recôncavo,19142.8967301192,2230.16869466667,33170.2340875206,72,2022-06-01
Camamu,243.182295049,2488.38303333333,15894.6387819393,1,2022-06-01
Espírito Santo,9234,625,13167,39,2022-06-01
Alagoas,2391.7739061751,926.805846666667,8221.20658859757,12,2022-06-01
Amazonas,213.317853655127,475.412476333333,3203.57200142129,1,2022-06-01
Tucano Sul,16.4205847270467,119.760655666667,769.692354345803,5,2022-06-01
Sergipe,477.613072163597,5.78572833333334,514.00420409188,7,2022-06-01
Barreirinhas,14.6342912666667,0.0930666666666667,15.2196629173334,1,2022-06-01
Total Geral,2828550,132903,3664484,278,2022-06-01
Santos,2195346.20398445,97151.6568551613,2806411.66678861,26,2022-05-01
Campos,597821.209302545,12950.8735103226,679279.743016507,27,2022-05-01
Solimões,13102.6481360645,13383.8589677419,97284.5781099574,7,2022-05-01
Potiguar,30887.7585149403,891.313118064516,36493.9486780737,75,2022-05-01
Recôncavo,19002.6935882282,2062.47977903226,31975.2995271831,74,2022-05-01
Espírito Santo,16736.7319413583,787.724851290323,21691.3715882527,35,2022-05-01
Camamu,235.166865530645,3016.9105483871,19210.9610018813,1,2022-05-01
Alagoas,2374.74636790373,864.907343225806,7814.84922439884,12,2022-05-01
Sergipe,3069.40598797866,29.2724293548387,3253.52400685902,16,2022-05-01
Amazonas,184.095635272642,399.211988064516,2695.06318992072,1,2022-05-01
Tucano Sul,11.7801932648839,114.362119677419,731.096197233113,5,2022-05-01
Parnaíba,0.986207715493548,60.3853267741935,380.798439913084,5,2022-05-01
Barreirinhas,19.3158036129032,0.122838709677419,20.0884357574193,1,2022-05-01
Total Geral,2878792.74252886,131713.079675806,3707242.98820455,285,2022-05-01
Santos,1145073.10689268,54170.9227241935,1485797.91835254,11,2017-10-01
Campos,1312417.84632459,25273.6619448387,1471384.37796186,45,2017-10-01
Solimões,19974.3872993226,12480.1130332258,98471.9270568366,7,2017-10-01
Espírito Santo,40578.5292797677,3147.65623709677,60376.6889564213,42,2017-10-01
Potiguar,46608.9613448338,1038.47458032258,53140.7691448926,80,2017-10-01
Parnaíba,54.5780509254033,7553.80942645161,47566.604119515,3,2017-10-01
Recôncavo,32207.5567408105,2111.20548709677,45486.6381256067,75,2017-10-01
Sergipe,22646.6779399665,2347.28986612903,37410.6852128435,21,2017-10-01
Camamu,423.44826993871,5260.79957612903,33512.8780518709,1,2017-10-01
Alagoas,3372.13534675117,1110.64294677419,10357.868459801,12,2017-10-01
Ceará,4068.20061559387,73.5668009677419,4530.92181598879,4,2017-10-01
Tucano Sul,1.87274020322581,35.9289235483871,227.858842827106,4,2017-10-01
Total Geral,2627427.30084539,114604.071546774,3348265.136101,305,2017-10-01
Santos,1160260.72494288,54638.8353236667,1503928.61775004,9,2017-11-01
Campos,1269122.5586815,24003.124132,1420097.6488782,44,2017-11-01
Solimões,18765.4258950467,11954.962053,93959.8657656266,7,2017-11-01
Espírito Santo,39538.2820172579,2900.59695166667,57782.4857298204,42,2017-11-01
Potiguar,45019.6296808132,1039.278316,51556.4928255731,80,2017-11-01
Parnaíba,58.3685352605667,7541.83731433333,47495.0922933275,4,2017-11-01
Recôncavo,31378.1598535604,2075.49845366667,44432.6507824176,78,2017-11-01
Sergipe,22511.8171877922,2430.545526,37799.4867426822,21,2017-11-01
Camamu,436.291412688,5601.89932433333,35671.173801873,1,2017-11-01
Alagoas,3195.48007489556,1113.10579333333,10196.7040248615,12,2017-11-01
Ceará,4353.964356231,77.5951223333333,4842.02293263442,4,2017-11-01
Tucano Sul,2.63962359666667,32.8030653333333,208.96467196092,4,2017-11-01
Total Geral,2594643.34226153,113410.081375667,3307971.20619901,306,2017-11-01
Santos,1175620.09253074,54554.8153645161,1518759.51575863,10,2017-12-01
Campos,1275491.80334897,24515.460646129,1429689.3928756,45,2017-12-01
Solimões,19028.6798733161,11698.0794274194,92607.3768366927,7,2017-12-01
Espírito Santo,37418.1570242284,2500.45300709677,53145.5313527958,43,2017-12-01
Potiguar,44332.0539088646,1003.25664290323,50642.3475739638,79,2017-12-01
Parnaíba,70.5353577355614,7616.5881416129,47977.4276167338,5,2017-12-01
Recôncavo,30861.2002385889,2167.33505645161,44493.3259500088,77,2017-12-01
Sergipe,22315.530310635,2491.54221483871,37986.8574489496,20,2017-12-01
Camamu,460.02412378,5876.63178290323,37422.9214782025,1,2017-12-01
Alagoas,2832.04949755905,825.702072903226,8025.55865272649,11,2017-12-01
Ceará,3939.17226484226,86.3132419354839,4482.06615710049,4,2017-12-01
Tucano Sul,2.69650241612903,36.5173703225806,232.3838234448,4,2017-12-01
Total Geral,2612371.99498168,113372.694969032,3325464.70552485,306,2017-12-01
