Concessionário,Petróleo (bbl/d),Gás Natural (Mm³/d),Produção Total (boe/d),mes
ORIGEM ALAGOAS,1564.8418927981,549.7429074193548,5022.620329313433,2022-08-01
PRIO BRAVO,4085.5888257734355,45.01218998064516,4368.706948435597,2022-08-01
3R CANDEIAS,1651.183887988726,424.5386931612903,4321.451605621542,2022-08-01
3R PETROLEUM OFF,105.61608316043228,582.5659132258065,3769.8449898272415,2022-08-01
PETRORECÔNCAVO,2848.460167787097,99.7800170967742,3476.0575171225582,2022-08-01
PETRORIO,2130.982330762597,10.560792580645161,2197.407709544265,2022-08-01
SPE TIÊTA,1786.9952763653143,51.83136508064516,2113.0047147632076,2022-08-01
ALVOPETRO,51.835778982183875,308.88103193548386,1994.6387824603098,2022-08-01
3R RIO VENTURA,1468.8123707959228,70.2741870967742,1910.823655539084,2022-08-01
SEACREST SPE CRICARÉ,1499.7212559710647,29.91961612903226,1687.9099566956131,2022-08-01
BRASOIL MANATI,23.529996602612904,256.0394387096774,1633.969418593129,2022-08-01
GEOPARK BRASIL,23.529996602612904,256.0394387096774,1633.969418593129,2022-08-01
IMETAME,170.84137836792584,151.80221661290324,1125.6484784419308,2022-08-01
CHEVRON BRASIL,831.6701272500001,8.294939516129032,883.8437207679436,2022-08-01
3R FAZENDA BELÉM,684.0164905459645,0.8777806451612904,689.5375640257065,2022-08-01
SHB,621.6678868112002,10.110411483870967,685.2604540665667,2022-08-01
ORIGEM,17.773775532564517,103.29958516129032,667.5085392758999,2022-08-01
3R AREIA BRANCA,474.9108765225645,0.5184732258064516,478.17197460297416,2022-08-01
3R PESCADA,81.7470373932258,49.483846774193545,392.9910316720161,2022-08-01
CAPIXABA ENERGIA,348.3698798307549,5.026429032258064,379.9851634221419,2022-08-01
PETROSYNERGY,316.050374908971,5.142525806451612,348.39588515164843,2022-08-01
PETROBORN,0,46.502796129032255,292.49375212034835,2022-08-01
PETROM,208.7779676756452,2.3461416129032258,223.5347526539,2022-08-01
BGM,170.5417764568871,0.2154077258064516,171.89665012474177,2022-08-01
NOVA PETRÓLEO,136.3182019911645,2.4243522580645163,151.56691706746128,2022-08-01
BARRA BONITA,0,23.761612903225807,149.45603045483873,2022-08-01
MANDACARU ENERGIA,131.08613310709677,0.1875690322580645,132.2659066818839,2022-08-01
GEOPAR - GEOSOL,109.12045283090322,0.5744129032258064,112.73340085374191,2022-08-01
SLIM DRILLING,72.74696855393549,0.38294193548387095,75.1556005691613,2022-08-01
RECÔNCAVO E&P,63.97834037499356,0.7909819354838709,68.95346646261936,2022-08-01
ENERGIZZI ENERGIAS,60.75808345119356,1.0631387096774192,67.4450239387097,2022-08-01
NTF,13.661467319999998,7.012183870967742,57.76677155345162,2022-08-01
CAMPO PETRÓLEO,49.5009365831129,0.10467130645161289,50.159299213145324,2022-08-01
PHOENIX ÓLEO & GÁS,32.890025181290326,2.6710429032258065,49.69037754442904,2022-08-01
UBUNTU ENGENHARIA,33.90816281290322,0.04445806451612903,34.18779559167742,2022-08-01
IPI,30.373524953535487,0.6036256451612904,34.17021557272742,2022-08-01
PETRO-VICTORY,31.489122176612902,0.19875806451612904,32.7392726383871,2022-08-01
GEOFLUX,6.830733659999999,3.506091935483871,28.88338577672581,2022-08-01
NEWO,6.830733659999999,3.506091935483871,28.88338577672581,2022-08-01
GUTO & CACAL,15.73264088387097,0.053965161290322576,16.072071495006455,2022-08-01
VIPETRO,13.29266126719355,0.03170032258064516,13.492050273164518,2022-08-01
OESTE DE CANOAS,6.959370419354838,0.044258064516129035,7.237745236129031,2022-08-01
EPG BRASIL,6.175274588870968,0.10375806451612903,6.827893100645161,2022-08-01
SONANGOL GUANAMBI,4.757129388909678,0.28966909677419356,6.579092970490968,2022-08-01
NORD,1.6231767741935483,0.002531612903225806,1.6391001383483874,2022-08-01
OIL GROUP,0.29358195417741934,0,0.29358195417741934,2022-08-01
PETROIL,0.29358195417741934,0,0.29358195417741934,2022-08-01
Total Geral,3086732.324035237,139970.41447483868,3967119.6367032244,2022-08-01
PETROBRAS,1961450.7284544327,91921.9713192258,2539622.4628778123,2022-12-01
SHELL BRASIL,369062.2265294626,16943.718188016126,475634.99462562834,2022-12-01
TOTALENERGIES EP,125977.9962502166,5334.573197409678,159531.44809301596,2022-12-01
PETROGAL BRASIL,102662.74447147477,4493.376849709677,130925.23111454719,2022-12-01
CNOOC PETROLEUM,56991.09050692869,2812.7734132580645,74682.9008493734,2022-12-01
REPSOL SINOPEC,52717.44941584432,2367.3380593387096,67607.55601485353,2022-12-01
PETRONAS,58852.48010515034,1086.1175505129033,65683.9531355419,2022-12-01
CNODC BRASIL,38200.92042826041,2033.6823342903226,50992.39591130303,2022-12-01
EQUINOR BRASIL,48897.62535197622,98.66821470967743,49518.229675539296,2022-12-01
EQUINOR ENERGY,31679.879363859345,746.0122626612903,36372.154753668954,2022-12-01
SINOCHEM PETRÓLEO,32598.41690131748,65.77880980645162,33012.153117026195,2022-12-01
QATARENERGY,24677.977002723954,704.3997871290322,29108.517827806012,2022-12-01
ENEVA,776.3077126699451,4452.696921290323,28782.925335171036,2022-12-01
PETRO RIO JAGUAR,25475.105339655212,285.5205358774194,27270.975261422365,2022-12-01
TRIDENT ENERGY,22881.9418937869,387.2554358064516,25317.705006476677,2022-12-01
KAROON BRASIL,22772.373259529963,149.35060903225806,23711.76021372715,2022-12-01
ENAUTA ENERGIA,13010.941732358453,1002.5530266451613,19316.809784881454,2022-12-01
3R PETROLEUM OFF,11341.862419853818,580.0815366129032,14990.465069657022,2022-12-01
POTIGUAR E&P S.A.,8964.397394185473,698.853525387097,13360.05328670049,2022-12-01
PETRO RIO O&G,12425.326716904323,53.78918464516129,12763.650468377306,2022-12-01
PERENCO BRASIL,10971.964476321076,34.86673999999999,11191.269646240477,2022-12-01
ORIGEM ALAGOAS,2153.9267760829807,847.0707132258063,7481.840618837789,2022-12-01
CHEVRON BRASIL,6722.921394316431,28.598208870967746,6902.798694455133,2022-12-01
SPE MIRANGA,1618.9760190785578,806.3125674193549,6690.528868758491,2022-12-01
PRIO BRAVO,5690.915384170593,63.78278670322581,6092.09699380441,2022-12-01
3R CANDEIAS,1907.901705637051,413.8559180645162,4510.9767976384255,2022-12-01
3R MACAU,3414.9369296023838,111.4958593548387,4116.224700731042,2022-12-01
CARMO,3837.337763568706,31.68810193548388,4036.649904003532,2022-12-01
ONGC CAMPOS,3251.458258317145,33.71743773870968,3463.5345353804587,2022-12-01
PETRORECÔNCAVO,2706.5654588003804,109.18328838709675,3393.3075979304253,2022-12-01
3R RIO VENTURA,1383.679970995368,248.5080012903226,2946.7480825912517,2022-12-01
SPE TIÊTA,2129.2627064476583,46.88694032258065,2424.1726525580293,2022-12-01
ALVOPETRO,31.26017917952581,263.0018922580645,1685.4921111232225,2022-12-01
PETRORIO,1566.9722729521923,7.636426322580645,1615.0039436002232,2022-12-01
SEACREST SPE CRICARÉ,1288.0728827776452,25.006229032258066,1445.3573122070322,2022-12-01
BRASOIL MANATI,11.675835172129034,200.5131170322581,1272.8652438127963,2022-12-01
GEOPARK BRASIL,11.675835172129034,200.5131170322581,1272.8652438127963,2022-12-01
IMETAME,44.666566298432265,194.05314122580643,1265.2239545119219,2022-12-01
SHB,706.8132789244498,19.982144612903223,832.4971719321346,2022-12-01
3R FAZENDA BELÉM,642.9054219574194,0.8223135483870968,648.0776179372001,2022-12-01
3R AREIA BRANCA,487.0983999120194,0.7549561290322582,491.84693052196775,2022-12-01
ORIGEM,5.685168535729031,70.81060741935484,451.0704351880613,2022-12-01
3R PESCADA,91.8281825435484,48.80781612903226,398.8200725100968,2022-12-01
PETROSYNERGY,297.81530876894834,3.9291312903225806,322.5287980501322,2022-12-01
CAPIXABA ENERGIA,260.91131756892906,3.5787409677419353,283.42091829524196,2022-12-01
PETROBORN,0,39.764327096774196,250.11006221656132,2022-12-01
PETROM,220.11179747248062,2.9774835483870965,238.83960326996126,2022-12-01
BARRA BONITA,0,26.903225806451612,169.21617870967742,2022-12-01
MANDACARU ENERGIA,144.35083515435485,0.20435806451612903,145.63620855212903,2022-12-01
NÍON ENERGIA,90.41400601080002,8.42208322580645,143.38730930530969,2022-12-01
NOVA PETRÓLEO,119.98745292953872,2.4471051612903225,135.3792794440742,2022-12-01
GEOPAR - GEOSOL,102.10236399174195,0.537472258064516,105.48296237523873,2022-12-01
PETRO-VICTORY,94.24783187112904,0.6386774193548388,98.2649914901613,2022-12-01
RECÔNCAVO E&P,81.9432814941968,0.6789380645161289,86.21367292177099,2022-12-01
NTF,11.235944121467742,11.410960161290324,83.00871545355324,2022-12-01
SLIM DRILLING,68.06824266116129,0.35831483870967745,70.32197491682581,2022-12-01
PHOENIX ÓLEO & GÁS,46.54459399999999,1.8242167741935484,58.01857090849031,2022-12-01
ENERGIZZI ENERGIAS,48.12335659970968,1.3021645161290325,56.31372399490323,2022-12-01
GEOFLUX,5.617972060733871,5.705480080645162,41.50435772677662,2022-12-01
NEWO,5.617972060733871,5.705480080645162,41.50435772677662,2022-12-01
BGM,37.681643018709686,0.029954516129032254,37.87005123380323,2022-12-01
GUTO & CACAL,13.348599996774194,0.03046548387096774,13.540222101880646,2022-12-01
SONANGOL GUANAMBI,7.197168251539353,0.3481787096774194,9.387146181455483,2022-12-01
VIPETRO,6.406027428061289,0.015277096774193547,6.50211746412258,2022-12-01
EPG BRASIL,5.297744645322581,0.10845161290322582,5.97988468467742,2022-12-01
NORD,2.0289709677419356,0.0031645161290322584,2.048875172935484,2022-12-01
ENERGY PARANÃ,1.420279677419355e-5,0.0011416774193548386,0.0071951368458064505,2022-12-01
Total Geral,3073765.344562631,140143.3038783871,3955240.098729952,2022-12-01
PETROBRAS,1991920.4228156488,92331.97897124999,2572671.0274688066,2022-07-01
SHELL BRASIL,365082.14931269974,16016.03204179032,465819.9478094729,2022-07-01
TOTALENERGIES EP,123469.7920290014,4568.055320988709,152201.9920675094,2022-07-01
PETROGAL BRASIL,101520.36207830955,4432.523141096775,129400.09045641146,2022-07-01
REPSOL SINOPEC,64079.071017249764,2798.1038539516135,81678.61261887316,2022-07-01
PETRONAS,62038.486129541285,1066.747726380645,68748.12664640753,2022-07-01
CNODC BRASIL,30008.552063521653,1440.3680896935482,39068.19367775703,2022-07-01
CNOOC PETROLEUM,30008.552063521653,1440.3680896935482,39068.19367775703,2022-07-01
EQUINOR ENERGY,27208.986615966125,624.8672902419355,31139.283146802754,2022-07-01
QATARENERGY,26300.333460850914,656.199118716129,30427.701239742808,2022-07-01
PETRO RIO JAGUAR,22732.772394612122,262.016726232258,24380.807819435042,2022-07-01
ENEVA,235.53512579026128,3826.0742051612906,24300.8149221558,2022-07-01
TRIDENT ENERGY,20909.635593032275,350.5566570967742,23114.570360406135,2022-07-01
PETRO RIO O&G,15192.746686406934,64.04806477419355,15595.596844704303,2022-07-01
KAROON BRASIL,14004.096011406607,86.46567741935485,14547.94869389564,2022-07-01
POTIGUAR E&P S.A.,8641.213152890186,546.8949975483873,12081.078777420009,2022-07-01
PERENCO BRASIL,9182.483672984315,30.4228964516129,9373.837911314635,2022-07-01
EQUINOR BRASIL,8886.74366673516,12.309060774193545,8964.16532028329,2022-07-01
ENAUTA ENERGIA,430.2528805975,1305.7643209677422,8643.262364263614,2022-07-01
ORIGEM ALAGOAS,2683.2788068307837,892.4850716129032,8296.840335112338,2022-07-01
ONGC CAMPOS,6164.641628382172,50.51895863225807,6482.396279576935,2022-07-01
SPE MIRANGA,1537.317114097258,742.956193548387,6210.370409839838,2022-07-01
SINOCHEM PETRÓLEO,5924.49577782344,8.20604051612903,5976.110213522194,2022-07-01
3R MACAU,4896.2807363957645,140.52299806451614,5780.143694851939,2022-07-01
PRIO BRAVO,5078.302225662068,58.532241509677434,5446.458903632052,2022-07-01
3R CANDEIAS,1474.4919320674849,399.63095535483876,3988.0947113679035,2022-07-01
PETRORECÔNCAVO,2818.3092777599095,103.40924258064518,3468.7337658360775,2022-07-01
SPE TIÊTA,1922.6966011827872,58.53961572580645,2290.8996615711217,2022-07-01
PETRORIO,2167.735600260072,10.275435548387097,2232.3661375266724,2022-07-01
ALVOPETRO,47.74319033845483,289.02833225806455,1865.6764848585517,2022-07-01
BRASOIL MANATI,21.391542361451613,289.72597096774194,1843.7128518140646,2022-07-01
GEOPARK BRASIL,21.391542361451613,289.72597096774194,1843.7128518140646,2022-07-01
3R RIO VENTURA,1408.3587973365388,21.416163548387093,1543.0623969848195,2022-07-01
SEACREST SPE CRICARÉ,1178.3217446111291,28.08743225806452,1354.986356902226,2022-07-01
IMETAME,186.57988196340804,135.81412032258064,1040.824894109579,2022-07-01
SHB,599.3037482888893,8.612312129032258,653.4735552411977,2022-07-01
ORIGEM,16.66392638423871,96.29862,622.3639494464387,2022-07-01
3R AREIA BRANCA,449.9650051385032,0.5253696774193548,453.2694805892323,2022-07-01
3R PESCADA,85.80761699096776,53.91984861290322,424.95321999489255,2022-07-01
CAPIXABA ENERGIA,329.8222425972677,5.053660967741935,361.60880988878057,2022-07-01
PETROSYNERGY,326.0271437058,4.719499032258064,355.7118959138871,2022-07-01
PETROM,233.1831406154839,2.5869,249.4542501044839,2022-07-01
PETROBORN,0,36.78302354838709,231.3582293448806,2022-07-01
BGM,217.8177434767742,0.28500258064516126,219.61035555854195,2022-07-01
NOVA PETRÓLEO,122.57327497937742,1.953714193548387,134.8617660511,2022-07-01
MANDACARU ENERGIA,126.40539853306454,0.18087193548387095,127.54304864159035,2022-07-01
GEOPAR - GEOSOL,109.53618898219355,0.576605806451613,113.16292994967097,2022-07-01
RECÔNCAVO E&P,85.1008330702387,1.069098387096774,91.82525879638386,2022-07-01
CHEVRON BRASIL,74.46805332217743,0.46117741935483875,77.36877166620968,2022-07-01
NTF,14.081099095548387,9.975579032258066,76.8255958484355,2022-07-01
SLIM DRILLING,73.02412598812903,0.3844038709677419,75.44195329978064,2022-07-01
BARRA BONITA,0,11.855161290322581,74.56671203548387,2022-07-01
ENERGIZZI ENERGIAS,63.61688325503226,1.1004354838709678,70.53841336583872,2022-07-01
PHOENIX ÓLEO & GÁS,42.69665055967742,3.0816896774193547,62.07989310960646,2022-07-01
IPI,47.06313303779839,0.9353051612903226,52.94602479433387,2022-07-01
PETRO-VICTORY,45.09732900870968,0.2727922580645161,46.81314048140645,2022-07-01
GEOFLUX,7.0405495477741935,4.987789516129033,38.41279792421775,2022-07-01
NEWO,7.0405495477741935,4.987789516129033,38.41279792421775,2022-07-01
UBUNTU ENGENHARIA,19.62948252451613,0.022434193548387094,19.77058933943871,2022-07-01
VIPETRO,13.268289267929031,0.03164225806451613,13.467313059125805,2022-07-01
OESTE DE CANOAS,8.308636112903226,0.05283870967741936,8.640981557419355,2022-07-01
EPG BRASIL,7.604786084193548,0.1364677419354839,8.463142252096773,2022-07-01
GUTO & CACAL,7.387483293548389,0.024581612903225806,7.542096968203228,2022-07-01
SONANGOL GUANAMBI,6.110342648372902,0.15938335483870966,7.112833667470967,2022-07-01
NORD,1.6231767741935483,0.002531612903225806,1.639100138348387,2022-07-01
OIL GROUP,1.1632192006612903,0,1.1632192006612903,2022-07-01
PETROIL,1.1632192006612903,0,1.1632192006612903,2022-07-01
Total Geral,2962526.116441432,135629.70752322575,3815611.207118093,2022-07-01
PETROBRAS,2044302.6496047317,95556.74350314165,2645336.410458227,2022-11-01
SHELL BRASIL,355397.66056438175,16042.913330666668,456304.5372607423,2022-11-01
TOTALENERGIES EP,128677.84012311943,5408.829952071667,162698.35284395932,2022-11-01
PETROGAL BRASIL,100375.64040506113,4445.699036633332,128338.24266266784,2022-11-01
PETRONAS,60146.02925419721,1097.634227876667,67049.93999703815,2022-11-01
REPSOL SINOPEC,41640.743653627396,1781.112580733333,52843.60337504972,2022-11-01
CNODC BRASIL,39491.113440140965,2064.0370410500004,52473.51426130767,2022-11-01
CNOOC PETROLEUM,39491.113440140965,2064.0370410500004,52473.51426130767,2022-11-01
EQUINOR BRASIL,44235.77826221459,85.8150088,44775.53836271492,2022-11-01
EQUINOR ENERGY,30560.685868888377,807.72761625,35641.13910685379,2022-11-01
QATARENERGY,28087.201187199425,723.9136487333334,32640.480494138832,2022-11-01
SINOCHEM PETRÓLEO,29490.51884147639,57.210005866666656,29850.35890847661,2022-11-01
PETRO RIO JAGUAR,25151.768185842164,279.60145155333333,26910.408191836836,2022-11-01
ENEVA,509.4328519514101,3927.771124,25214.366945397847,2022-11-01
KAROON BRASIL,21750.215126718103,136.876419,22611.141795708492,2022-11-01
TRIDENT ENERGY,18805.9399638843,289.19814133333335,20624.941325224114,2022-11-01
ENAUTA ENERGIA,12927.933125116684,873.71664695,18423.444828269265,2022-11-01
PETRO RIO O&G,13809.408427681716,57.389927400000005,14170.38016694151,2022-11-01
POTIGUAR E&P S.A.,8936.794467172176,668.7646627333335,13143.197130478924,2022-11-01
PERENCO BRASIL,9840.989346957873,33.488094333333336,10051.623097576616,2022-11-01
ORIGEM ALAGOAS,2198.3800194849537,853.3351436666667,7565.69593947099,2022-11-01
ONGC CAMPOS,7097.8710796092255,61.316978309999996,7483.543222953246,2022-11-01
CHEVRON BRASIL,6576.055345555537,25.576764249999997,6736.92833310283,2022-11-01
SPE MIRANGA,1728.396908268627,771.297065,6579.708900676277,2022-11-01
PRIO BRAVO,5618.684696274504,62.46051511333334,6011.549468839499,2022-11-01
3R MACAU,3238.954382008187,110.68868599999999,3935.1651860978473,2022-11-01
PETRORECÔNCAVO,2667.448244291127,92.47444033333335,3249.0949038441304,2022-11-01
3R RIO VENTURA,1351.9526729216464,242.37146233333337,2876.42312042047,2022-11-01
3R PETROLEUM OFF,103.74683495150666,431.81735533333335,2819.79595470066,2022-11-01
SPE TIÊTA,2202.8704002805393,45.381088749999996,2488.308826111177,2022-11-01
3R CANDEIAS,1321.2794273757972,181.85589913333337,2465.1184803036285,2022-11-01
SEACREST SPE CRICARÉ,1840.5902452049997,35.496010000000005,2063.8534038630996,2022-11-01
PETRORIO,1903.4490146037494,8.6887966,1958.0998943463956,2022-11-01
ALVOPETRO,46.12027293438334,265.1016406666667,1713.5592234159903,2022-11-01
IMETAME,166.705245633333,187.0456338,1343.186743564911,2022-11-01
BRASOIL MANATI,16.661056742966665,172.96874376666665,1104.6015909739842,2022-11-01
GEOPARK BRASIL,16.661056742966665,172.96874376666665,1104.6015909739842,2022-11-01
SHB,754.827312803213,17.6748436,865.998720826929,2022-11-01
3R FAZENDA BELÉM,641.8380006209999,0.824403,647.0233388544299,2022-11-01
ORIGEM,8.333983573776665,78.136908,499.80028888125673,2022-11-01
3R AREIA BRANCA,485.6287431294967,1.8493730000000002,497.2609479186267,2022-11-01
3R PESCADA,80.10502838683334,45.97024833333333,369.2491560563167,2022-11-01
PETROSYNERGY,326.6468870715134,3.780901,350.4280359903234,2022-11-01
CAPIXABA ENERGIA,295.94491554407335,3.7819703333333337,319.73279036637666,2022-11-01
PETROBORN,0,41.777674000000005,262.77363170194,2022-11-01
PETROM,219.08076836803002,2.7705393333333332,236.50693437222336,2022-11-01
BARRA BONITA,0,28.35,178.3161135,2022-11-01
MANDACARU ENERGIA,161.05645553933337,0.22729100000000002,162.48607274404338,2022-11-01
NOVA PETRÓLEO,126.68232730223001,2.061796333333333,139.65063449759333,2022-11-01
GEOPAR - GEOSOL,100.6554520414,0.529858,103.98815818838,2022-11-01
RECÔNCAVO E&P,88.59077878609999,1.061435,95.26700326345,2022-11-01
BGM,94.18213683465001,0.12783464999999997,94.98619249456651,2022-11-01
SLIM DRILLING,67.10363469426667,0.3532386666666667,69.32543879225334,2022-11-01
NTF,13.689079585900002,7.5951483333333325,61.461119524383335,2022-11-01
CAMPO PETRÓLEO,60.57171942435,0.09148635,61.1471511834435,2022-11-01
ENERGIZZI ENERGIAS,52.29912020296667,1.2217333333333333,59.9835907403,2022-11-01
ENERGY PARANÃ,0.131275882472,8.731486866666668,55.05066929130068,2022-11-01
IPI,46.299326003954995,0.628409,50.25189921624499,2022-11-01
PHOENIX ÓLEO & GÁS,44.00728464600001,0.9095286666666667,49.728047148886674,2022-11-01
PETRO-VICTORY,37.211564261666666,0.25156666666666666,38.793870797333334,2022-11-01
GEOFLUX,6.844539792950001,3.7975741666666663,30.730559762191668,2022-11-01
NEWO,6.844539792950001,3.7975741666666663,30.730559762191668,2022-11-01
VIPETRO,14.448538501143332,0.03445733333333333,14.665268580916665,2022-11-01
GUTO & CACAL,10.25868011,0.021328999999999997,10.39283546749,2022-11-01
EPG BRASIL,6.785656688333334,0.12286666666666667,7.558464677000001,2022-11-01
SONANGOL GUANAMBI,3.324960874946,0.21003419999999998,4.6460360864479995,2022-11-01
NORD,2.0966033333333334,0.0032700000000000003,2.1171710120333334,2022-11-01
OIL GROUP,0.08942013216666668,0,0.08942013216666668,2022-11-01
PETROIL,0.08942013216666668,0,0.08942013216666668,2022-11-01
Total,3095480.9511974496,140380.01920599997,3978444.5997995385,2022-11-01
PETROBRAS,2109182.8501278316,99327.68081173388,2733935.0901742834,2022-10-01
SHELL BRASIL,404730.58890387835,18488.844017564516,521021.90489399584,2022-10-01
